word,dialect,phonetic,mandarin,usage,english,iid
 ,手圈,soū kuā,手镯,,bracelet,0385
  ,剃毛毛,tí miē miē,理发,,haircut,0386
  ,梳毛毛,só miē miē,梳头,,combs,0387
,饭,má,米饭,,rice,0388
 ,粥饭,zoǔ mā,稀饭,用米熬的，统称,porridge,0389
 ,面粉,màn fiān,面粉,麦子磨的，统称,flour,0390
,面,màn,面条,统称,noodles,0391
 ,包子,biú lē,包子,,Steamed stuffed bun,0394
 ,馅心,hìn xiān,馅儿,,patties,0397
 ,豆浆,toù jīn,豆浆,,soybean milk,0399
   ,豆腐脑髓,toù fù liē xiān,豆腐脑,,bean curd jelly,0400
  ,羊子寨=,yín zī cà,粽子,,rice dumpling,0402
 ,点心,dān xiān,点心,统称,dim sum,0404
,菜,qiā,菜,吃饭时吃的，统称,vegetable,0405
 ,豆腐,toù fù,豆腐,,bean curd,0407
 ,猪血,jié feī,猪血,当菜的,pig blood,0408
  ,猪爪子,jié zō lē,猪蹄,当菜的,trotters,0409
  ,猪脷头,jié lì toū,猪舌头,当菜的，注意婉称,pig tongue,0410
  ,猪肝花,jié gín hō,猪肝,当菜的，注意婉称,porcine,0411
 ,捞=水,ló suaī,下水,猪牛羊的内脏,offal,0412
 ,#8#8,kà kà,鸡蛋,,egg,0413
 ,板油,biē yōu,猪油,,lard,0415
 ,香油,xín yōu,香油,,sesame oil,0416
 ,酱油,jīn yōu,酱油,,soy sauce,0417
,盐,lín,盐,名词,salt,0418
,醋,cō,醋,注意婉称,vinegar,0419
,烟,lín,香烟,,cigarette,0420
 ,旱烟,hìn līn,旱烟,,dry cigarette,0421
 ,白酒,pò jiū,白酒,,white spirit,0422
 ,黄酒,hín jiū,黄酒,,rice wine,0423
 ,糊酿,fú līn,江米酒,酒酿，醪糟,fermented glutinous rice,0424
 ,茶叶,có zì,茶叶,,tea,0425
,泡,biū,沏,～茶,infuse,0426
 ,煮饭,jiē má,做饭,统称,cook,0428
  ,炒青菜,cē qió qiā,炒菜,统称，和做饭相对,stir-fry vegetable,0429
,煲,bié,煮,～带壳的鸡蛋,boil,0430
,踏=,tiǎ,煎,～鸡蛋,fry,0431
,炸,cà,炸,～油条,fried,0432
,蒸,zán,蒸,～鱼,steam,0433
,揉,hoù,揉,～面做馒头等,knead,0434
  ,食早饭,zì jiē mā,吃早饭,,have breakfast,0436
  ,食斗=食,zì doū zī,吃午饭,,have lunch,0437
  ,食夜地,zì liò taì,吃晚饭,,have dinner,0438
,食,zì,吃,～饭,eat,0439
,啜,suaǐ,喝,～酒,drink,0441
,啜,suaǐ,喝,～茶,drink,0441
,食,zì,抽,～烟,smoke,0442
,盛,só,盛,～饭,filled,0443
,夹,gǎ,夹,用筷子～菜,clip,0444
,斟,càn,斟,～酒,pour,0445
,干,gín,渴,口～,thirsty,0446
,饿,è,饿,肚子～,hungry,0447
,哽,gán,噎,吃饭～着了,choke,0448
 ,脑牯,liē gō,头,人的，统称,head,1088
 ,毛毛,miē miē,头发,,hair,0450
 ,辫子,bián dē,辫子,,braid,0451
,旋,cuàn,旋,,,0452
 ,额头,è toù,额头,,forehead,0453
 ,相貌,xīn mō,相貌,,looks,0454
,面,màn,脸,洗～,face,0455
 ,眼睛,liē jiō,眼睛,,eye,0456
